Act_No,Title,PDF_URL,Status
A1697,SUPPLY ACT 2024,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1946987_BI/A1697 BI.pdf,Acts
A1696,"PRINTING OF QUR’ANIC TEXTS (AMENDMENT)
ACT 2023",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1845393_BI/A1696 BI.pdf,Acts
A1695,INSOLVENCY (AMENDMENT) ACT 2023,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1845392_BI/A1695 BI.pdf,Acts
A1694,"MALAYSIA CO-OPERATIVE SOCIETIES COMMISSION
(AMENDMENT) ACT 2023",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1845390_BI/A1694 BI.pdf,Acts
A1693,MENTAL HEALTH (AMENDMENT) ACT 2023,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1845387_BI/A1693 BI.pdf,Acts
A1692,"CRIMINAL PROCEDURE CODE (AMENDMENT) 
(NO. 2) ACT 2023",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1845385_BI/A1692 BI.pdf,Acts
A1691,PENAL CODE (AMENDMENT) (NO. 2) ACT 2023,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1845383_BI/A1691 BI.pdf,Acts
A1690,"SUSTAINABLE ENERGY DEVELOPMENT
AUTHORITY (AMENDMENT) ACT 2023",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1841210_BI/A1690 BI.pdf,Acts
A1689,RENEWABLE ENERGY (AMENDMENT) ACT 2023,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1841207_BI/A1689 BI.pdf,Acts
A1688,"EVIDENCE OF CHILD WITNESS (AMENDMENT) 
ACT 2023",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1827716_BI/A1688 BI.pdf,Acts
A1687,SEXUAL OFFENCES AGAINST CHILDREN (AMENDMENT) ACT 2023,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1827709_BI/A1687 BI.pdf,Acts
A1686,COMMERCIAL VEHICLE LICENSING BOARD (AMENDMENT) ACT 2023,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1826836_BI/Act A1686 BI.pdf,Acts
A1685,LAND PUBLIC TRANSPORT (AMENDMENT) ACT 2023,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1826834_BI/Act A1685 BI.pdf,Acts
A1684,ROAD TRANSPORT (AMENDMENT) ACT 2023,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1826831_BI/Act A1684 BI.pdf,Acts
A1683,WINDFALL PROFIT LEVY (VALIDATION) ACT 2023,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1814092_BI/Act A1683.pdf,Acts
A1682,"CRIMINAL PROCEDURE CODE (AMENDMENT)
ACT 2023",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1814093_BI/Act A1682.pdf,Acts
A1681,PENAL CODE (AMENDMENT) ACT 2023,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1814085_BI/Act A1681.pdf,Acts
A1680,SUPPLEMENTARY SUPPLY (2022) ACT 2023,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1814075_BI/Act A1680.pdf,Acts
A1679,SUPPLY ACT 2023,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1814076_BI/Act A1679.pdf,Acts
A1678,"CONSOLIDATED FUND
(EXPENDITURE ON ACCOUNT) ACT 2022",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1754864_BI/WJW221417 BI.pdf,Acts
A1677,FREE ZONES  (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745938_BI/A1677 BI.pdf,Acts
A1676,GOODS VEHICLE LEVY (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745941_BI/ACT A1676.pdf,Acts
A1675,WINDFALL PROFIT LEVY (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745942_BI/ACT A1675.pdf,Acts
A1674,DEPARTURE LEVY (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745940_BI/ACT A1674.pdf,Acts
A1673,TOURISM TAX (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745939_BI/A1673 BI.pdf,Acts
A1672,SERVICE TAX (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745934_BI/ACT A1672.pdf,Acts
A1671,SALES TAX (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745933_BI/A1671 BI.pdf,Acts
A1670,EXCISE (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745937_BI/Act A1670.pdf,Acts
A1669,CUSTOMS (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1745936_BI/A1669 BI.pdf,Acts
A1668,TABUNG ANGKATAN TENTERA (AMENDMENT) ACT 2022,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1742946_BI/Act A1668 BI.pdf,Acts
