Start_Index,Act_No,Title,Date_of_Royal_Assent,Publication_Date,Date_of_Commencement,PDF_URL
0,799,MALAYSIAN BORDER SECURITY AGENCY ACT 2017,10/11/2017,30/11/2017,29/12/2017,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20171130_799BI.pdf
0,798,LOCAL AUTHORITIES (CONDITIONS OF SERVICE) ACT 1964,,15/11/2017,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20171115_Act798_LocalAuthorities.pdf
0,797,SABAH PORTS AUTHORITY (CONSEQUENTIAL PROVISIONS) ACT 1968,,15/11/2017,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20171115_Act797_SabahPorts.pdf
0,796,EMPLOYMENT (RESTRICTION) ACT 1968,,15/11/2017,15/11/2017,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20171115_Act796-Employment(Restriction)Act1968.pdf
0,795,ACCESS TO BIOLOGICAL RESOURCES AND BENEFIT SHARING ACT 2017,09/10/2017,17/10/2017,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20171017_795BI.pdf
0,794,MARRIED WOMEN AND CHILDREN (ENFORCEMENT OF MAINTENANCE) ACT 1968,,16/10/2017,16/10/2017,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20171016_Act794_MarriedWomen.pdf
0,793,PADI CULTIVATORS (CONTROL OF RENT AND SECURITY OF TENURE) ACT 1967,,16/10/2017,16/10/2017,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20171016_Act793-PadiCultivators(ControlofRentandSecurityofTenure)Act1967.pdf
0,792,SEXUAL OFFENCES AGAINST CHILDREN ACT 2017,03/07/2017,07/07/2017,10/07/2017,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20170707_WJW008739BI.pdf
0,791,TOURISM TAX ACT 2017,19/06/2017,21/06/2017,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20170621_WJW008721Act791.pdf
0,790,COURTS (MODES OF COMMENCEMENT OF CIVIL ACTIONS) ACT 2017,19/06/2017,21/06/2017,15/07/2017,https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/aktaBI_20170621_WJW008721Act790.pdf
