Start_Index,Publication_Date,PU_No,Title,Status,Date_of_Commencement,PDF_URL
0,2025-08-18,P.U. (B) 307/2025,NOTICE OF VACANCIES OF ELECTED OFFICES IN THE MALAYSIAN OPTICAL COUNCIL,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3028401/PUB307_2025.pdf
0,2025-08-14,P.U. (B) 306/2025,NOTIFICATION UNDER SECTION 8,PRINCIPAL,15/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3024820/PUB 306 (2025).pdf
0,2025-08-14,P.U. (B) 305/2025,NOTIFICATION UNDER SECTION 8,PRINCIPAL,15/09/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3024788/PUB 305 (2025).pdf
0,2025-08-14,P.U. (B) 304/2025,SCALE OF RATES OF FERRY SERVICE BETWEEN BUTTERWORTH AND PENANG ISLAND  (REVOCATION) 2025,CANCEL,15/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3024243/P.U. (B) 304_2025.pdf
0,2025-08-13,P.U. (B) 303/2025,NOTICE TO THIRD PARTIES,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3021596/PUB 303.pdf
0,2025-08-08,P.U. (B) 302/2025,APPOINTMENT AND REVOCATION OF APPOINTMENT  OF DEPUTY DIRECTORS GENERAL OF THE BOARD,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3014862/P.U. (B) 302_2025.pdf
0,2025-08-08,P.U. (B) 301/2025,NOTICE TO THIRD PARTIES,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3014911/P.U. (B) 301_2025.pdf
0,2025-08-08,P.U. (B) 300/2025,RESERVATION OF LAND FOR PUBLIC PURPOSE,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3014854/PUB 300 (2025).pdf
0,2025-08-08,P.U. (B) 299/2025,RESERVATION OF LAND FOR PUBLIC PURPOSE,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3014844/PUB 299 (2025).pdf
0,2025-08-07,P.U. (B) 298/2025,RESERVATION OF LAND FOR PUBLIC PURPOSE,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3011930/PUB 298.pdf
0,2025-08-07,P.U. (B) 297/2025,RESERVATION OF LAND FOR PUBLIC PURPOSE,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3011900/PUB 297_2025.pdf
0,2025-08-06,P.U. (B) 296/2025,APPOINTMENT OF JUDGES  OF THE SYARIAH HIGH COURT,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3010516/PUB296_2025.pdf
0,2025-08-06,P.U. (B) 295/2025,NOTIFICATION OF VALUE OF CRUDE PETROLEUM OIL UNDER SECTION 12,PRINCIPAL,08/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/3008004/PUB 295_2025.pdf
0,2025-07-31,P.U. (B) 294/2025,APPOINTMENT OF MEMBER OF  THE COMPETITION COMMISSION,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2999899/PUB 294.pdf
0,2025-07-30,P.U. (B) 293/2025,APPOINTMENT OF PROTECTORS,PRINCIPAL,01/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2998540/P.U. (B) 293_2025.pdf
0,2025-07-30,P.U. (B) 292/2025,APPOINTMENT OF PROBATION OFFICERS,PRINCIPAL,01/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2998502/PUB 292_2025.pdf
0,2025-07-30,P.U. (B) 291/2025,APPOINTMENT OF AUTHORIZED OFFICERS,PRINCIPAL,01/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2998514/PUB 291_2025.pdf
0,2025-07-30,P.U. (B) 290/2025,APPOINTMENT OF AUTHORIZED OFFICERS,PRINCIPAL,01/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2998528/P.U. (B) 290_2025.pdf
0,2025-07-30,P.U. (B) 289/2025,DESIGNATION OF AUTHORIZED OFFICERS,PRINCIPAL,01/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2998439/P.U. (B) 289_2025.pdf
0,2025-07-30,P.U. (B) 288/2025,APPOINTMENT OF PESTICIDES LICENSING OFFICERS,PRINCIPAL,01/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2998434/P.U. (B) 288_2025.pdf
0,2025-07-30,P.U. (B) 287/2025,APPOINTMENT AND REVOCATION OF APPOINTMENT  OF BOARD OFFICERS,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2997373/PUB 287_2025.pdf
0,2025-07-30,P.U. (B) 286/2025,PRESCRIPTION UNDER SECTION 6,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2993383/P.U. (B) 286_2025.pdf
0,2025-07-29,P.U. (B) 285/2025,NOTICE TO THIRD PARTIES,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2995873/PUB 285 (2025).pdf
0,2025-07-29,P.U. (B) 284/2025,NOTICE TO THIRD PARTIES,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2995867/PUB284_2025.pdf
0,2025-07-29,P.U. (B) 283/2025,APPOINTMENT OF PLACE OF SAFETY,PRINCIPAL,01/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2995090/PUB 283 (2025).pdf
0,2025-07-29,P.U. (B) 282/2025,NOTICE TO THIRD PARTIES,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2993528/PUB282_2025.pdf
0,2025-07-28,P.U. (B) 281/2025,PRESCRIPTION UNDER SECTION 6,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2992228/PUB 281_2025.pdf
0,2025-07-25,P.U. (B) 280/2025,APPOINTMENT OF DATE OF COMING INTO OPERATION,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2990372/PUB 280 (2025).pdf
0,2025-07-25,P.U. (B) 279/2025,APPOINTMENT OF DATE OF COMING INTO OPERATION,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2990410/PUB 279 (2025).pdf
0,2025-07-23,P.U. (B) 278/2025,NOTICE TO THIRD PARTIES,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2985724/PUB278_2025.pdf
0,2025-07-23,P.U. (B) 277/2025,NOTICE OF AFFIRMATIVE FINAL DETERMINATION OF AN ANTI-DUMPING DUTY INVESTIGATION WITH REGARD TO IMPORTS OF POLYETHYLENE TEREPHTHALATE ORIGINATING OR EXPORTED FROM THE PEOPLE’S REPUBLIC OF CHINA AND THE REPUBLIC OF INDONESIA - CORRIGENDUM,CORRIGENDUM,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2985602/PUB277_2025.pdf
0,2025-07-23,P.U. (B) 276/2025,NOTIFICATION OF VALUE OF PALM KERNEL UNDER SECTION 12,PRINCIPAL,01/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2982709/PUB 276_2025.pdf
0,2025-07-23,P.U. (B) 275/2025,NOTIFICATION OF VALUE OF CRUDE PETROLEUM OIL UNDER SECTION 12,PRINCIPAL,25/07/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2982686/PUB 275_2025.pdf
0,2025-07-23,P.U. (B) 274/2025,NOTIFICATION OF VALUE OF CRUDE PALM OIL UNDER SECTION 12,PRINCIPAL,01/08/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2978376/PUB 274_2025.pdf
0,2025-07-18,P.U. (B) 273/2025,NOTIFICATION OF APPLICATION FOR REGISTRATION OF NEW PLANT VARIETY AND GRANT OF BREEDER’S RIGHT,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2978222/PUB 273.pdf
0,2025-07-18,P.U. (B) 272/2025,NOTICE REGARDING THE CERTIFICATION AND  INSPECTION OF THE SUPPLEMENTARY ELECTORAL ROLL  FOR THE MONTH OF JUNE 2025,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2976176/PUB 272.pdf
0,2025-07-18,P.U. (B) 271/2025,NOTICE TO THIRD PARTIES,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2977763/PUB 271.pdf
100,2025-07-18,P.U. (B) 270/2025,NOTICE TO THIRD PARTIES,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2977752/PUB 270.pdf
100,2025-07-18,P.U. (B) 269/2025,NOTIFICATION OF FREE ZONES  (AMENDMENT OF SECOND SCHEDULE) (NO. 3) 2025,PRINCIPAL,21/07/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2977287/PUB 269.pdf
100,2025-07-18,P.U. (B) 268/2025,NOTIFICATION OF FREE ZONES,PRINCIPAL,21/07/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2977308/PUB 268.pdf
100,2025-07-17,P.U. (B) 267/2025,NOTICE TO THIRD PARTIES,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2970254/PUB 267 (2025).pdf
100,2025-07-15,P.U. (B) 266/2025,PRESCRIPTION UNDER SECTION 6,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2971284/P.U. (B) 266_2025.pdf
100,2025-07-14,P.U. (B) 265/2025,APPOINTMENT OF MEMBERS OF THE FOUNDING BOARD OF THE MALAYSIAN MEDIA COUNCIL,PRINCIPAL,15/07/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2968001/PUB 265.pdf
100,2025-07-11,P.U. (B) 264/2025,APPOINTMENT OF DEPUTY PUBLIC PROSECUTOR,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2965428/PUB 264.pdf
100,2025-07-08,P.U. (B) 261/2025,NOTIFICATION OF VALUE OF CRUDE PETROLEUM OIL UNDER SECTION 12,PRINCIPAL,11/07/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2959489/PUB261_2025.pdf
100,2025-07-04,P.U. (B) 260/2025,"NOTICE OF AFFIRMATIVE PRELIMINARY DETERMINATION OF  AN ANTI-DUMPING DUTY INVESTIGATION WITH REGARD TO IMPORTS OF FLAT-ROLLED PRODUCTS OF IRON ALLOY OR NON-ALLOY STEEL, PLATED OR COATED WITH ZINC, USING HOT DIP PROCESS (GALVANISED IRON COILS/SHEETS OR GALVANISED STEEL COILS/SHEETS) ORIGINATED OR EXPORTED FROM THE PEOPLE’S REPUBLIC OF CHINA, THE REPUBLIC OF KOREA AND THE SOCIALIST REPUBLIC OF VIET NAM",PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2945178/PUB260_2025.pdf
100,2025-07-03,P.U. (B) 259/2025,NOTICE TO THIRD PARTIES,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2950465/P.U. (B) 259_2025.pdf
100,2025-07-03,P.U. (B) 258/2025,RESERVATION OF LAND FOR PUBLIC PURPOSE,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2939969/PUB 258_2025.pdf
100,2025-07-01,P.U. (B) 257/2025,APPOINTMENT OF PLACE OF SAFETY,PRINCIPAL,16/07/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2880931/PUB 257.pdf
100,2025-07-01,P.U. (B) 256/2025,APPOINTMENT OF PLACE OF SAFETY,PRINCIPAL,16/07/2025,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2880919/PUB 256.pdf
100,2025-07-01,P.U. (B) 255/2025,NOTICE TO THIRD PARTIES,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2945006/PUB 255 (2025).pdf
100,2025-06-30,P.U. (B) 254/2025,APPOINTMENT OF DEPUTY PUBLIC PROSECUTOR,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2944424/PUB 254.pdf
100,2025-06-30,P.U. (B) 253/2025,APPOINTMENT OF DATE OF COMING INTO OPERATION,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2939533/PUB 253.pdf
100,2025-06-30,P.U. (B) 252/2025,APPOINTMENT OF DATE OF COMING INTO OPERATION,PRINCIPAL,,https://lom.agc.gov.my/ilims/upload/portal/akta/outputp/2943934/PUB 252.pdf
